"","date","team","opponent","goals","home.adv"
"461",2017-07-30,"San Jose","Colorado",1,1
"462",2017-07-30,"Minnesota United","DC United",4,1
"463",2017-07-30,"L.A. Galaxy","Seattle",0,1
"464",2017-07-30,"Toronto","New York City FC",4,1
"465",2017-07-30,"Philadelphia","New England",0,0
"466",2017-07-30,"Montreal","New York",0,0
"467",2017-07-30,"Vancouver","FC Dallas",4,0
"468",2017-07-30,"Chicago","Kansas City",2,0
"469",2017-07-30,"Portland","Houston",2,0
"470",2017-07-30,"Columbus","Salt Lake",2,0
"471",2017-07-30,"Colorado","San Jose",0,0
"472",2017-07-30,"DC United","Minnesota United",0,0
"473",2017-07-30,"Seattle","L.A. Galaxy",0,0
"474",2017-07-30,"New York City FC","Toronto",0,0
"475",2017-08-06,"Philadelphia","FC Dallas",3,1
"476",2017-08-06,"DC United","Toronto",1,1
"477",2017-08-06,"Montreal","Orlando City",2,1
"478",2017-08-06,"Minnesota United","Seattle",0,1
"479",2017-08-06,"Chicago","New England",4,1
"480",2017-08-06,"Colorado","Vancouver",2,1
"481",2017-08-06,"Salt Lake","Houston",0,1
"482",2017-08-06,"San Jose","Columbus",2,1
"483",2017-08-06,"Portland","L.A. Galaxy",3,1
"484",2017-08-06,"New York City FC","New York",3,1
"485",2017-08-06,"FC Dallas","Philadelphia",1,0
"486",2017-08-06,"Toronto","DC United",1,0
"487",2017-08-06,"Orlando City","Montreal",1,0
"488",2017-08-06,"Seattle","Minnesota United",4,0
"489",2017-08-06,"New England","Chicago",1,0
"490",2017-08-06,"Vancouver","Colorado",2,0
"491",2017-08-06,"Houston","Salt Lake",0,0
"492",2017-08-06,"Columbus","San Jose",1,0
"493",2017-08-06,"L.A. Galaxy","Portland",1,0
"494",2017-08-06,"New York","New York City FC",2,0
"495",2017-08-07,"Kansas City","Atlanta United",1,1
"496",2017-08-07,"Atlanta United","Kansas City",1,0
"497",2017-08-12,"Seattle","Kansas City",1,1
"498",2017-08-12,"Toronto","Portland",4,1
"499",2017-08-12,"Kansas City","Seattle",0,0
"500",2017-08-12,"Portland","Toronto",1,0
"501",2017-08-13,"New York","Orlando City",3,1
"502",2017-08-13,"Columbus","Chicago",3,1
"503",2017-08-13,"FC Dallas","Colorado",0,1
"504",2017-08-13,"New England","Vancouver",1,1
"505",2017-08-13,"Philadelphia","Montreal",0,1
"506",2017-08-13,"Houston","San Jose",3,1
"507",2017-08-13,"L.A. Galaxy","New York City FC",0,1
"508",2017-08-13,"Orlando City","New York",1,0
"509",2017-08-13,"Chicago","Columbus",1,0
"510",2017-08-13,"Colorado","FC Dallas",0,0
"511",2017-08-13,"Vancouver","New England",0,0
"512",2017-08-13,"Montreal","Philadelphia",3,0
"513",2017-08-13,"San Jose","Houston",0,0
"514",2017-08-13,"New York City FC","L.A. Galaxy",2,0
"515",2017-08-14,"DC United","Salt Lake",0,1
"516",2017-08-14,"Salt Lake","DC United",1,0
"517",2017-08-17,"Montreal","Chicago",3,1
"518",2017-08-17,"Chicago","Montreal",0,0
"519",2017-08-19,"Portland","New York",2,1
"520",2017-08-19,"New York","Portland",0,0
"521",2017-08-20,"Montreal","Salt Lake",3,1
"522",2017-08-20,"Orlando City","Columbus",1,1
"523",2017-08-20,"Chicago","Toronto",1,1
"524",2017-08-20,"Kansas City","FC Dallas",2,1
"525",2017-08-20,"Colorado","DC United",0,1
"526",2017-08-20,"Vancouver","Houston",2,1
"527",2017-08-20,"San Jose","Philadelphia",2,1
"528",2017-08-20,"New York City FC","New England",2,1
"529",2017-08-20,"Salt Lake","Montreal",1,0
"530",2017-08-20,"Columbus","Orlando City",1,0
"531",2017-08-20,"Toronto","Chicago",3,0
"532",2017-08-20,"FC Dallas","Kansas City",0,0
"533",2017-08-20,"DC United","Colorado",1,0
